,open,high,low,close,volume,MA_5,MA_20
1999-11-29,94.25,99.75,93.25,94.56,4144300.0,93.548,89.614
1999-11-30,98.12,103.75,97.37,97.87,7528400.0,94.998,90.6265
1999-12-01,101.0,104.5,100.06,103.06,5522900.0,97.048,91.76700000000001
1999-12-02,103.12,110.62,101.75,110.19,5065700.0,100.148,93.20150000000001
1999-12-03,112.19,115.56,111.87,115.0,5785000.0,104.13600000000001,94.7705
1999-12-06,114.56,117.31,111.44,116.0,4167700.0,108.424,96.155
1999-12-07,116.56,118.0,114.0,117.81,3973400.0,112.41199999999999,97.227
1999-12-08,116.25,117.87,109.5,110.06,3681700.0,113.81199999999998,98.249
1999-12-09,111.0,111.0,100.87,105.25,7635700.0,112.824,98.9395
1999-12-10,105.31,109.25,99.0,103.0,5694300.0,110.424,99.477
1999-12-13,102.39,102.5,98.94,99.0,4731800.0,107.024,99.896
1999-12-14,98.37,99.75,94.75,94.87,3891700.0,102.436,100.1675
1999-12-15,93.25,97.25,91.06,97.0,5562300.0,99.824,100.458
1999-12-16,98.0,98.37,94.0,98.31,4141300.0,98.436,100.861
1999-12-17,100.87,102.0,98.5,100.0,4419700.0,97.836,101.38
1999-12-20,99.56,99.62,96.62,98.0,2535600.0,97.636,101.658
1999-12-21,98.19,103.06,97.94,102.5,2746400.0,99.162,102.252
1999-12-22,102.87,104.56,98.75,99.94,2920300.0,99.75,102.6085
1999-12-23,101.81,104.25,101.06,103.5,2049400.0,100.788,103.049
1999-12-27,104.37,104.44,99.25,99.31,1503500.0,100.65,103.2615
1999-12-28,99.12,99.62,95.0,98.19,2210500.0,100.688,103.44300000000001
1999-12-29,96.81,102.19,95.5,100.69,2540200.0,100.326,103.58399999999999
1999-12-30,102.19,104.12,99.62,100.31,1849500.0,100.4,103.44649999999999
1999-12-31,100.94,102.87,99.5,102.81,1462600.0,100.262,103.07750000000001
2000-01-03,104.87,112.5,101.69,111.94,4783900.0,102.78800000000001,102.9245
2000-01-04,108.25,110.62,101.19,102.5,4574800.0,103.65,102.2495
2000-01-05,103.75,110.56,103.0,104.0,6949300.0,104.31199999999998,101.559
2000-01-06,106.12,107.0,95.0,95.0,6856900.0,103.25,100.80600000000001
2000-01-07,96.5,101.0,95.5,99.5,4113700.0,102.58800000000001,100.5185
2000-01-10,102.0,102.25,94.75,97.75,4509500.0,99.75,100.256
2000-01-11,95.94,99.37,90.5,92.75,3942400.0,97.8,99.9435
2000-01-12,95.0,95.5,86.5,87.19,8714900.0,94.438,99.5595
2000-01-13,94.48,98.75,92.5,96.75,9220400.0,94.788,99.547
2000-01-14,100.0,102.25,99.37,100.44,3485500.0,94.976,99.6535
2000-01-18,101.0,106.0,100.44,103.94,4099800.0,96.214,99.8505
2000-01-19,105.62,108.75,103.37,106.56,5336100.0,98.976,100.2785
2000-01-20,115.5,121.5,113.5,113.5,16349400.0,104.23800000000001,100.82849999999999
2000-01-21,114.25,114.25,110.19,111.31,4427900.0,107.15,101.397
