,open,high,low,close,volume,MA_5,MA_20
1999-11-29,90.12,92.06,89.5,90.19,25730100.0,90.486,89.38300000000001
1999-11-30,89.75,92.87,89.56,91.05,32072800.0,90.73400000000001,89.317
1999-12-01,91.06,93.94,90.87,93.19,24432100.0,91.44800000000001,89.3485
1999-12-02,93.06,95.25,92.87,94.81,27736900.0,92.072,89.489
1999-12-03,95.81,97.12,95.73,96.12,32050300.0,93.072,89.7075
1999-12-06,95.25,97.19,94.75,95.44,24549100.0,94.122,89.9015
1999-12-07,94.75,94.87,92.87,93.0,28429600.0,94.512,90.05449999999999
1999-12-08,93.12,94.31,91.69,91.75,20477900.0,94.224,90.1985
1999-12-09,92.0,93.31,91.44,92.75,23129100.0,93.812,90.47999999999999
1999-12-10,93.37,94.12,92.25,93.87,18418000.0,93.362,90.69250000000001
1999-12-13,93.61,96.94,92.75,96.62,26345800.0,93.598,91.064
1999-12-14,96.19,101.12,95.31,98.69,72058100.0,94.736,91.6485
1999-12-15,98.56,108.75,98.5,108.44,77785800.0,98.074,92.70500000000001
1999-12-16,109.25,115.0,108.94,113.69,64330100.0,102.262,94.1395
1999-12-17,116.62,117.12,113.62,115.25,52949400.0,106.53799999999998,95.655
1999-12-20,114.81,115.0,111.19,112.75,19716900.0,109.76399999999998,96.99249999999999
1999-12-21,112.37,116.62,110.62,115.87,28723000.0,113.2,98.2955
1999-12-22,116.3,118.0,115.12,117.56,19282600.0,115.024,99.6925
1999-12-23,117.25,119.25,116.75,117.44,15514200.0,115.774,100.97999999999999
1999-12-27,118.44,119.25,116.12,119.12,16101100.0,116.548,102.38
1999-12-28,118.75,118.81,117.06,117.5,12295500.0,117.498,103.74549999999999
1999-12-29,116.94,118.37,116.81,117.94,8724600.0,117.91199999999999,105.09
1999-12-30,117.87,119.94,117.12,117.62,11180000.0,117.924,106.3115
1999-12-31,117.5,117.75,116.25,116.75,6258800.0,117.78599999999999,107.4085
2000-01-03,117.37,118.62,112.0,116.56,26614200.0,117.274,108.43050000000001
